,system,ff,guest_type,total,bond,ang,dih,v14,e14,ele,vdw,total_sem,bond_sem,ang_sem,dih_sem,v14_sem,e14_sem,ele_sem,vdw_sem
94,b-cbu-s,smirnoff,cyclic_alcohols,0.19549213999562198,-0.5210703598399817,-2.2165889333170554,5.133641637584191,-0.160854162632603,0.6333699752025268,-0.6886226555907342,-1.9843833614040705,1.365182203008745,0.18187730571768446,0.7989665330579072,1.9959290448018965,0.45898282001888385,1.193213508960226,1.2623831962090848,0.1814118131730384
95,b-cbu-s,bgbg_tip3p,cyclic_alcohols,-0.24823401727553573,-0.07487168145039647,-0.3663384644837464,0.7792330761135418,0.059264215332149206,0.46027876887251296,0.18882043863413855,-1.2946203703095307,0.4970817979540711,0.08381688503994869,0.38740158969610866,0.9823515717963013,0.05936950008288004,0.32603539987639363,0.5139205290922204,0.16913857932589602
96,b-chp-s,smirnoff,cyclic_alcohols,1.2079358205919561,-1.1844280224336998,-6.043137740822829,13.644358366652597,0.42684953637508016,5.459410846842957,-6.741813171476679,-4.353303994543239,0.31483855060472316,0.04545097775035418,0.20961751686285462,0.5164543159883899,0.16465849206254538,0.5442093313931973,0.8054100029734369,0.13438498269417842
97,b-chp-s,bgbg_tip3p,cyclic_alcohols,1.9102897752272838,-1.270834898769479,-5.9171200195053615,13.617656431001308,0.587400550612017,5.225935284670186,-5.9410680659420905,-4.39167950682895,0.6371381041977487,0.06257663221336915,0.27936016598302654,0.7045121311020546,0.19289864722078245,0.5187127994677274,0.5019621621486856,0.1418503425808928
98,b-chp-p,smirnoff,cyclic_alcohols,0.34162842372097657,-1.1740924177072714,-6.124823164618519,13.658888196974146,0.08546237028077996,4.980840985037048,-6.834098872492177,-4.250548673721369,0.7882703345470602,0.08959797129236453,0.5169518650775852,1.1970339478620944,0.3016891891280132,0.9527167463169851,1.1785424431963567,0.14573470893743004
99,b-chp-p,bgbg_tip3p,cyclic_alcohols,1.737437166430027,-1.1560742174623186,-5.478389992984603,12.186390168991721,0.45251686336953156,3.9896488716539125,-4.397206297206139,-3.859448229926329,0.9290763640374395,0.20668345724319612,1.0245759373840604,2.373100076539459,0.2554993364794007,1.1299275149503172,1.4641553144579567,0.32725195798255513
100,b-coc-s,smirnoff,cyclic_alcohols,1.2740714599094645,-1.0516703858941128,-5.577228836944144,13.531530201190975,1.2858447094664598,9.454696346526816,-12.064102945783816,-4.30499762865702,0.41913584556973976,0.14904361197415195,0.8682545343374612,1.646279676707976,0.35768749709255104,1.5382582583128233,1.7746725669625847,0.15023180114226153
101,b-coc-s,bgbg_tip3p,cyclic_alcohols,3.432862707893946,-1.5248628698142923,-7.30634127610395,17.408742559293245,0.8096636769602128,7.172929689064858,-8.113581964618788,-5.013687106891211,0.2994124407204,0.042066333193293955,0.27113436392340823,0.5670720145761973,0.06853979198968328,0.20231092338394138,0.5340895331540018,0.13947868039114442
102,b-coc-p,smirnoff,cyclic_alcohols,0.5929634542699205,-1.1128238310118945,-5.907774958478626,13.66708638656533,0.266685911402881,5.65363196470355,-7.3784241316061525,-4.59541788731849,0.6128505708586593,0.12717953210460212,0.7032439405861968,1.6343048061911647,0.20903538942436176,0.8604180756348294,1.1720373901592573,0.2748152335057812
103,b-coc-p,bgbg_tip3p,cyclic_alcohols,-0.9713400046057359,-0.13166028779105687,-0.058007100755745,0.7207667882658768,0.08313616481732566,-0.7395392586799971,1.2415668413377716,-2.0876031518232594,0.9557167567858124,0.11487369879259807,0.6813753814570023,1.5896682329184584,0.32543474891550267,1.216899137093005,1.4436643970291396,0.17298362187656643
104,b-cpe-s,smirnoff,cyclic_alcohols,2.3599895494626253,-0.9968619794983979,-4.587851464356419,10.878829762607808,0.7286338155603289,4.006906760105721,-4.308335570694908,-3.361331774247901,0.4789758871699695,0.15008625821864577,0.7398691887953466,1.4630660968507927,0.0938285595281128,0.3513936699672803,0.550533666881617,0.1312953948692512
105,b-cpe-s,bgbg_tip3p,cyclic_alcohols,3.488477798167878,-0.9740296460387867,-4.553092983012874,10.854276127578032,0.7759158942002244,3.7718860562474674,-3.277145080948685,-3.1093325698348053,0.8695063184064229,0.23799559087468428,1.116788436499743,2.5046217410651948,0.10645564983290516,0.7073011801394083,0.949405334792486,0.2564206423187289
106,b-cpe-p,smirnoff,cyclic_alcohols,1.4158784918035963,-1.0993330953945986,-5.244870245115891,11.571632669884139,0.19776954796895296,2.8442257712134733,-3.7691595063588466,-3.0843866503755635,0.4788512567356826,0.052237407083778234,0.2895175304204427,0.5811886155638263,0.22965406628133142,0.6190313524471112,0.7136044682675813,0.14522120799387495
107,b-cpe-p,bgbg_tip3p,cyclic_alcohols,3.9358920979975665,-1.1052407409889327,-5.249018795548352,12.177301368871326,0.8390218790692785,4.567250588318757,-4.003277428339061,-3.290144773382508,0.4865150377648694,0.1066956691915694,0.530429074686003,1.2163224946434392,0.1137533046015077,0.430305110650348,0.6198848768041171,0.17869773127037167
